seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
7,0.1,0.8938053097345132,0.796660304069519,0.07168141592920352,0.84,0.7841232419013977,0.9210526315789473,0.7511553764343262,0.96,0.8909018039703369
7,0.15,0.8495575221238938,0.6905747652053833,0.07831858407079643,0.8,0.7123275995254517,0.868421052631579,0.6838746666908264,0.92,0.657253086566925
7,0.2,0.7256637168141593,0.5387107133865356,0.09557522123893808,0.68,0.5637956261634827,0.7368421052631579,0.5133549571037292,0.8,0.5270816683769226
8,0.05,0.9823008849557522,1.007691502571106,0.04646017699115047,0.98,1.1156129837036133,1.0,0.9474025368690491,0.96,0.8834874033927917
8,0.1,0.9823008849557522,0.8773495554924011,0.08230088495575219,0.98,0.9031314849853516,1.0,0.8985710144042969,0.96,0.793529212474823
8,0.15,0.9823008849557522,0.8147168159484863,0.1323008849557522,0.98,0.8226902484893799,1.0,0.8465780019760132,0.96,0.7503410577774048
8,0.2,0.911504424778761,0.6656160354614258,0.1398230088495575,0.94,0.687693178653717,0.9736842105263158,0.7478005290031433,0.76,0.49654170870780945
9,0.05,0.8761061946902655,0.7603834271430969,0.10309734513274335,0.84,0.635000467300415,0.9736842105263158,1.0439541339874268,0.8,0.5801216959953308
9,0.1,0.8053097345132744,0.6079433560371399,0.13893805309734514,0.7,0.5084950923919678,0.9473684210526315,0.766922652721405,0.8,0.565191388130188
9,0.15,0.7522123893805309,0.5499199628829956,0.12699115044247786,0.68,0.47727906703948975,0.8157894736842105,0.6384329795837402,0.8,0.5606622695922852
9,0.2,0.7256637168141593,0.4979470372200012,0.13097345132743365,0.64,0.44186413288116455,0.7894736842105263,0.5719926953315735,0.8,0.49756351113319397
10,0.05,0.9734513274336283,1.114232063293457,0.038495575221238976,0.98,1.105759859085083,0.9473684210526315,1.1272103786468506,1.0,1.1114497184753418
10,0.1,0.9469026548672567,0.8131766319274902,0.08584070796460175,0.96,0.8378689289093018,0.8947368421052632,0.7587634325027466,1.0,0.8465000987052917
10,0.15,0.9026548672566371,0.7243305444717407,0.07123893805309733,0.86,0.6909982562065125,0.8947368421052632,0.742845356464386,1.0,0.7628530263900757
10,0.2,0.831858407079646,0.6165939569473267,0.05309734513274336,0.8,0.5800763964653015,0.8421052631578947,0.6699500679969788,0.88,0.6085278391838074
